,Preço,Preço Realizado,Preço de NVT,Custos Evitados,Preço de Metcalfe,Preço de Estoque-Fluxo
2013-05-23,123.72615604909402,47.6766355103757,27.316250608738105,26.57857350222845,87.5058155450028,44.21192057993711
2013-05-24,128.971080654588,47.93172194125718,27.43353820063418,26.942053132156452,87.54320753885249,44.407392748883915
2013-05-25,128.844915254237,48.53424442267578,27.52643134879849,27.32952745838181,87.57978276752085,44.626669453096206
2013-05-26,130.158601110462,48.61363912106643,27.71735326438168,27.65349980302676,87.61598098849666,44.874292567346494
2013-05-27,126.392905902981,48.72046454680753,27.99946322458523,27.997103242949482,87.65514033437181,45.15394815897206
2013-05-28,125.904595265926,48.82930060350447,28.16657659953198,28.33711864872411,87.69036044569927,45.48972494060969
2013-05-29,129.564812390415,49.087449235156384,28.30345177424904,28.66707882323251,87.72787798098719,45.78912009094249
2013-05-30,126.513068381064,49.23125686825879,28.407577068483775,29.00215382845426,87.76792962149872,46.08195953337688
2013-05-31,127.81648889538299,49.415531711515634,28.458085326351366,29.233544734002837,87.80716379097696,46.35401726009663
2013-06-01,128.791151081239,49.54473360403356,28.565539880735226,29.344528993767085,87.85502102431639,46.59338082616003
2013-06-02,122.62670894213899,49.64180990406634,28.75086067520899,29.35387196074809,87.89983574511085,46.80385652855792
2013-06-03,122.949187901812,49.75718530713158,28.982419830405107,29.4636657798068,87.94791378442093,47.00173254713405
2013-06-04,120.18996873173599,49.86369793110521,29.13469592406647,29.598566149849386,87.99610635483059,47.31143161547231
2013-06-05,120.86992384570401,50.027760707673856,29.161993318547623,29.72499421884365,88.03782989610735,47.64911910035141
2013-06-06,119.053975669784,50.32827486828874,29.25031533393348,29.93976659034509,89.05036228538711,47.89643085162988
2013-06-07,110.1977314436,50.28124711848311,29.47153408548933,30.425478133010568,89.08762992335414,48.23685298301463
2013-06-08,109.178545341321,50.27911292709174,29.71104306464325,32.1843506970684,89.12960726141333,48.525942982093824
2013-06-09,99.90360344827592,50.23665546436473,29.902206988946695,32.688133024578484,89.16655252841934,48.87491495073635
2013-06-10,104.357566627703,50.22743614716165,30.005567525031687,33.1357961078797,89.20705851928525,49.214692051171056
2013-06-11,107.507520455874,50.341137628868914,30.234526900131968,33.32228568220454,89.249044251989,49.53588735186592
2013-06-12,106.378116306254,50.33817730943698,30.500132737826988,33.605866081725715,89.29649628289144,49.85391225521969
2013-06-13,101.32389772063101,50.255068385950764,30.620729986246907,33.97282077792754,89.34006910460833,50.24602737272624
2013-06-14,99.2132443015781,50.228055423502404,30.767785223372663,34.50464501604072,89.38232266757281,50.53903630975338
2013-06-15,99.8750374050263,50.24253154418027,30.889648477500224,35.45931886094039,89.42301320332736,50.83759601073384
2013-06-16,99.03835125657508,50.25334466149327,31.08939206124142,35.90860646933141,89.46661331326416,51.08143690689414
2013-06-17,100.126305084746,50.25225459339095,31.254599105094883,36.147901311250855,89.50084942070878,51.4022623313882
2013-06-18,104.28917638223301,50.28075981583347,31.282307977879068,36.32215699274865,89.53395763451971,51.84184110249404
2013-06-19,104.417150789012,50.309621509735855,31.29061723332709,36.50647103648055,89.56616951590429,52.154694611337554
2013-06-20,104.323499707773,50.31987951018582,31.395971074696753,36.68153595920655,89.60270385904383,52.535618481306884
2013-06-21,101.416857393337,50.29328343139454,31.50953976429725,36.86195496226196,90.5006043100277,52.874090198389055
2013-06-22,100.039508474576,50.30549455700826,31.689147895210347,37.18977706806034,90.54312177329695,53.2611287299748
2013-06-23,100.314744593805,50.30880540417815,31.87861790350953,37.79675980980822,90.58305795241868,53.55862626576034
2013-06-24,99.04568322618348,50.32868451949568,31.960614157193547,38.14118327377939,90.61942755429074,53.9242772742165
2013-06-25,97.8327887200468,50.321357673142984,32.03519172908504,38.414695504069314,90.65755978534176,54.218718017261274
2013-06-26,98.6517007597896,50.35562205526687,32.135020610579076,38.601090008660016,90.69989924547872,54.52827178921015
2013-06-27,96.80394959906491,50.32703523931393,32.23532258601805,38.875030447464304,90.74061291598876,54.89737072703394
2013-06-28,89.4245067212157,50.20221518713717,32.387346562812354,39.344981694005206,90.781891618602,55.30176808044035
2013-06-29,88.7972910578609,50.21869381382107,32.58241054421151,39.75844302299841,90.82324836842005,55.66435087177903
2013-06-30,89.4809076563413,50.1852488423907,32.64461017693507,39.85779456030709,90.8607571199144,56.03258981082205
2013-07-01,82.8675701344243,50.16519516926531,32.70468068120081,40.053356909982035,90.8993132264114,56.44694004657504
2013-07-02,87.81646668614842,50.24907153559778,32.77992689348628,40.60577595865165,90.93695215531879,56.92408768957193
2013-07-03,77.69133080070141,50.06493797624096,32.88822593505995,40.80501307842285,90.98230259200571,57.284439289611214
2013-07-04,79.1348708357686,49.99801688388183,33.18968468439488,40.97858129037654,91.02304948225807,57.732348739832894
2013-07-05,67.44762385271771,49.543832863240446,33.77806409772525,41.1943126253278,91.0690725111526,58.080473428258294
2013-07-06,66.3416808883694,49.19868610405602,34.3571676884385,41.4179843257832,92.03172671343799,58.351931689428
2013-07-07,72.1095223728814,49.2208918562346,34.94325375813446,41.522981317877935,92.07864490033731,58.70441972766279
